"filename", "language", "Markdown", "JavaScript", "HTML", "CSS", "XML", "JSON", "comment", "blank", "total"
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 3
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\responsive.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 7, 39
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\style.css", "CSS", 0, 0, 0, 62, 0, 0, 1, 10, 73
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\ui.css", "CSS", 0, 0, 0, 67, 0, 0, 2, 15, 84
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_left_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_right_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_up_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\buttons.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 24
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\dry_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\fullscreen_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\fullscreen_exit_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\favicon\browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\favicon\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 77, 0, 0, 1, 78
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\favicon\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 14, 0, 1, 15
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\pepe_start\pepe-start.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 6, 38
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\index.html", "HTML", 0, 0, 80, 0, 0, 0, 9, 34, 123
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\js\game.js", "JavaScript", 0, 96, 0, 0, 0, 0, 2, 29, 127
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\levels\level1.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 2, 52
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\background-object.class.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\character.class.js", "JavaScript", 0, 119, 0, 0, 0, 0, 5, 41, 165
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\chicken.class.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 9, 41
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\cloud.class.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\coin.class.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 4, 19
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\collectable-object.class.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 3, 5
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\drawable-object.class.js", "JavaScript", 0, 29, 0, 0, 0, 0, 5, 7, 41
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\endboss.class.js", "JavaScript", 0, 26, 0, 0, 0, 0, 2, 4, 32
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\keyboard.class.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 9
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\level.class.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\movable-object.class.js", "JavaScript", 0, 59, 0, 0, 0, 0, 4, 18, 81
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\start-screen.class.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\static-screen.class.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2, 4
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\statusbars\status-bar.class.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 7, 47
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\throwable-object.class.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 2, 19
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\touchbuttons\touchbutton-left.class.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 4, 12
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\touchbuttons\touchbutton-right.class.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 4, 12
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\touchbuttons\touchbutton.class.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\models\world.class.js", "JavaScript", 0, 100, 0, 0, 0, 0, 15, 29, 144
"Total", "-", 3, 670, 136, 161, 92, 14, 45, 252, 1373
