"filename", "language", "JavaScript", "HTML", "Markdown", "XML", "CSS", "JSON", "comment", "blank", "total"
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 3
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\responsive.css", "CSS", 0, 0, 0, 0, 79, 0, 1, 12, 92
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\style.css", "CSS", 0, 0, 0, 0, 111, 0, 7, 17, 135
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\css\ui.css", "CSS", 0, 0, 0, 0, 110, 0, 5, 23, 138
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_left_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_right_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\arrow_circle_up_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\buttons.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 24
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\dry_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\fullscreen_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\buttons\fullscreen_exit_FILL0_wght400_GRAD0_opsz48.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\favicon\browserconfig.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 1, 10
"h:\Daten\developerakademie\11_modul11\el_pollo_loco_v2\img\favicon\safari-pinned-tab.svg", "XML", 0, 0, 0, 77, 0, 0, 0, 1, 78
